Symbol,Underlying,Expiration Date,Option Side,Strike,First Traded,Days To Expiration,Date,Bid,Bid Size,Mid,Ask,Ask Size,Last,Open Interest,Volume,In The Money,Intrinsic Value,Extrinsic Value,Underlying Price
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/12/2022,43,1,43.65,44.3,17,43.7,0,65,TRUE,13.43,30.22,163.43
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/13/2022,37,30,38.15,39.3,5,37.55,52,82,TRUE,3.84,34.31,153.84
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/14/2022,36.75,41,38.28,39.8,63,37.99,90,56,TRUE,5.31,32.97,155.31
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/15/2022,36.65,1,36.98,37.3,53,36.8,111,71,TRUE,2.37,34.61,152.37
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/16/2022,35.35,30,36.55,37.75,30,35.96,147,394,TRUE,0.7,35.85,150.7
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/19/2022,38.1,42,38.3,38.5,10,38.4,476,45,TRUE,4.48,33.82,154.48
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/20/2022,40,5,40.62,41.25,69,40,505,50,TRUE,6.9,33.72,156.9
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/21/2022,37.95,1,38.08,38.2,1,38.8,518,130,TRUE,3.72,34.36,153.72
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/22/2022,36.65,43,37.78,38.9,63,38.95,592,102,TRUE,2.74,35.04,152.74
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/23/2022,35.25,46,36.25,37.25,66,35.97,684,236,TRUE,0.43,35.82,150.43
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/26/2022,35.9,124,36.38,36.85,31,37.25,822,37,TRUE,0.77,35.61,150.77
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/27/2022,35,24,37.25,39.5,45,36.8,839,157,TRUE,1.76,35.49,151.76
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/28/2022,35,2,35.4,35.8,51,35.3,805,175,FALSE,0,35.4,149.84
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/29/2022,29.75,50,30.45,31.15,37,31.1,927,409,FALSE,0,30.45,142.48
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,9/30/2022,27.35,97,27.92,28.5,116,28.3,1185,374,FALSE,0,27.92,138.2
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/3/2022,28,30,30.25,32.5,25,30.2,1462,285,FALSE,0,30.25,142.45
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/4/2022,31.45,53,31.98,32.5,10,31.5,1554,96,FALSE,0,31.98,146.1
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/5/2022,32,32,32.7,33.4,26,32.3,1608,69,FALSE,0,32.7,146.4
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/6/2022,31.35,101,32,32.65,101,32.25,1642,17,FALSE,0,32,145.43
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/7/2022,28.5,103,28.98,29.45,109,29,1641,189,FALSE,0,28.98,140.09
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/10/2022,28,30,28.88,29.75,30,29.5,1683,83,FALSE,0,28.88,140.42
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/11/2022,27.65,40,28.4,29.15,50,27.75,1685,69,FALSE,0,28.4,138.98
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/12/2022,27.3,33,27.65,28,30,28,1688,33,FALSE,0,27.65,138.34
